rank_diff,elo_diff,grass_win_pct_diff,form5_grass_diff,form10_all_diff,rest_days_diff,month_sin,month_cos,is_wimbledon,round_encoded,label,year,tourney_name,winner_name,loser_name
454.0,187.76150623192484,0.24584717607973422,0.0,0.17142857142857143,354.0,-0.4999999999999997,-0.8660254037844388,1,0,1,2017,wimbledon,del potro j.m.,kokkinakis t.
21.0,-26.133962786445636,-0.1282051282051282,-0.19999999999999996,-0.06666666666666665,345.0,1.2246467991473532e-16,-1.0,0,0,0,2022,halle open,otte o.,kecmanovic m.
76.0,-46.90495844466159,-0.1527777777777778,-0.4,-0.1527777777777778,-1464.0,-0.4999999999999997,-0.8660254037844388,0,0,1,2006,hall of fame championships,pless k.,russell m.
-46.0,16.768585045746477,-0.0,-0.0,-0.0,-0.0,1.2246467991473532e-16,-1.0,0,3,0,2024,halle,daniil medvedev,nuno borges
28.0,-132.80887811299772,-0.6470588235294118,-0.4,-0.6,-0.0,1.2246467991473532e-16,-1.0,1,0,0,2005,wimbledon,popp a.,haehnel j.
-17.0,-2.281820688561538,0.024242424242424176,-0.0,0.09999999999999998,-0.0,1.2246467991473532e-16,-1.0,0,0,0,2018,antalya open,mannarino a.,monfils g.
-25.0,-76.87219716794198,-0.20915032679738566,-0.2,-0.1777777777777778,0.0,1.2246467991473532e-16,-1.0,0,0,1,2016,aegon championships,edmund k.,mathieu p.h.
-105.0,-47.07711820075633,-0.09999999999999998,-0.19999999999999996,-0.09999999999999998,367.0,1.2246467991473532e-16,-1.0,1,0,0,2014,wimbledon,dolgopolov o.,groth s.
13.0,44.28669734531786,0.07246376811594202,-0.0,0.033333333333333326,1.0,1.2246467991473532e-16,-1.0,0,0,0,2019,mercedes cup,struff j.l.,shapovalov d.
228.0,41.671297129283175,-0.38888888888888884,-0.4,-0.4,0.0,1.2246467991473532e-16,-1.0,1,0,1,2005,wimbledon,lopez f.,sherwood d.
-61.0,-11.948462229327106,0.03541666666666665,-0.20000000000000007,-0.0,1.0,1.2246467991473532e-16,-1.0,0,0,0,2019,mercedes cup,raonic m.,tsonga j.w.
-21.0,-13.804044277349476,0.25,0.25,0.25,-0.0,1.2246467991473532e-16,-1.0,0,5,0,2024,eastbourne,aleksandar vukic,yoshihito nishioka
-30.0,-129.2359499448246,-0.5434782608695652,-0.4,-0.6,-5.0,1.2246467991473532e-16,-1.0,0,0,0,2017,aegon international,tomic b.,gombos n.
-12.0,116.71194593154974,0.3114035087719298,0.35,0.35,1.0,1.2246467991473532e-16,-1.0,0,0,1,2010,aegon championships,schuettler r.,gimeno-traver d.
37.0,281.0350189191597,0.18717576260634983,0.4,0.30000000000000004,-0.0,1.2246467991473532e-16,-1.0,0,0,0,2014,aegon championships,stepanek r.,murray a.
7.0,39.78401800186384,0.022260273972602773,-0.0,-0.0,-0.0,1.2246467991473532e-16,-1.0,0,0,0,2016,aegon open,baghdatis m.,querrey s.
116.0,81.6329970495583,0.04761904761904767,0.13333333333333341,0.033333333333333326,0.0,1.2246467991473532e-16,-1.0,1,0,1,2010,wimbledon,tsonga j.w.,kamke t.
-9.0,-104.37129371625133,0.09284627092846276,-0.20000000000000007,0.07777777777777783,-0.0,-0.4999999999999997,-0.8660254037844388,1,0,0,2015,wimbledon,gasquet r.,kyrgios n.
37.0,13.093933369414799,0.0174825174825175,-0.0,0.20000000000000007,1.0,1.2246467991473532e-16,-1.0,0,0,0,2007,the nottingham open,karlovic i.,tursunov d.
745.0,236.45307313559601,0.6551724137931034,0.4,0.7,5.0,1.2246467991473532e-16,-1.0,0,0,1,2015,aegon open,lopez f.,fritz t.
2.0,-128.58510073746652,-0.1333333333333333,0.20000000000000007,-0.09999999999999998,-0.0,-0.4999999999999997,-0.8660254037844388,1,0,0,2023,wimbledon,hurkacz h.,musetti l.
-291.0,-12.084218524924154,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,343.0,1.2246467991473532e-16,-1.0,0,0,0,2001,heineken trophy,arazi h.,petrovic d.
34.0,128.22736459005932,0.1417953116066324,0.6000000000000001,0.09999999999999998,-5.0,1.2246467991473532e-16,-1.0,0,0,0,2015,aegon open,lu y.h.,seppi a.
-9.0,13.848702258241019,0.09999999999999998,0.19999999999999996,0.09999999999999998,350.0,1.2246467991473532e-16,-1.0,0,0,0,2001,gerry weber open,federer r.,portas a.
16.0,-1.5698022934584515,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,-373.0,-0.4999999999999997,-0.8660254037844388,0,0,1,2014,hall of fame championships,pavic a.,copil m.
-34.0,-114.87253644204566,-0.5714285714285714,-0.8,-0.7,1078.0,1.2246467991473532e-16,-1.0,0,0,1,2005,stella artois,kim k.,srichaphan p.
-39.0,-59.496813782155414,-0.10664335664335667,0.19999999999999996,-0.0,2.0,-0.4999999999999997,-0.8660254037844388,0,0,0,2007,hall of fame championships,santoro f.,dancevic f.
52.0,115.05765524396634,0.6190476190476191,1.0,0.9,337.0,1.2246467991473532e-16,-1.0,0,0,0,2013,topshelf open,donskoy e.,isner j.
77.0,-73.44828803651649,-0.380952380952381,-0.19999999999999996,-0.380952380952381,-0.0,1.2246467991473532e-16,-1.0,0,0,0,2002,gerry weber open,popp a.,koubek s.
15.0,-100.17432155472511,-0.050000000000000044,-0.4,-0.20000000000000007,4.0,1.2246467991473532e-16,-1.0,0,0,0,2005,nottingham open,karlovic i.,andreev i.
57.0,106.44349839225447,0.1928571428571429,0.6000000000000001,0.30000000000000004,14.0,-0.4999999999999997,-0.8660254037844388,0,0,0,2002,hall of fame championships,lee m.,arthurs w.
214.0,-0.33681369264672867,0.4444444444444444,0.4,0.4,350.0,1.2246467991473532e-16,-1.0,0,0,1,2013,aegon championships,stakhovsky s.,corrie e.
52.0,33.813836992338565,0.13124999999999998,0.19999999999999996,0.19999999999999996,0.0,1.2246467991473532e-16,-1.0,0,0,1,2012,aegon championships,dodig i.,dancevic f.
176.0,-97.51225526398434,-0.42236024844720493,-0.2,-0.35714285714285715,12.0,-0.4999999999999997,-0.8660254037844388,0,0,0,2021,hall of fame championships,sock j.,nishioka y.
